category,title,link,price,currency,slot
Iphone 15,"TAGTech Tablet 10.1"" FHD 6GB RAM, 128GB. USB-C External Memory",https://www.alifstores.com/tagtech-tablet-10-1-fhd-6gb-ram-1-8gb-usb-c-external-memory.html,749.00,QAR,
Iphone 15,"Lenovo M10 HD - Tab X306X, Iron Grey 10.1"" HD 3GB Ram, 32GB, MicroSD card (Up to 256), 4G LTE",https://www.alifstores.com/lenovo-m10-hd-tab-x306x-iron-grey-10-1-hd-3gb-ram-32gb-microsd-card-up-to-256-4g-lte.html,749.00,QAR,Only 1 left
Apple Watch S9,Apple iPhone 15 256GB Green,https://www.alifstores.com/apple-iphone-15-256gb-green.html,3799.00,QAR,Only 2 left
Apple Watch S9,Apple iPhone 15 256GB Blue,https://www.alifstores.com/apple-iphone-15-256gb-blue.html,3799.00,QAR,Only 2 left
Apple Watch S9,Apple iPhone 15 256GB Black,https://www.alifstores.com/apple-iphone-15-256gb-black.html,3799.00,QAR,Only 1 left
Apple Watch S9,Apple iPhone 15 128GB Green,https://www.alifstores.com/apple-iphone-15-128gb-green.html,3399.00,QAR,Only 4 left
Apple Watch S9,Apple iPhone 15 128GB Blue,https://www.alifstores.com/apple-iphone-15-128gb-blue.html,3399.00,QAR,Only 5 left
Apple Watch S9,Apple iPhone 15 128GB Black,https://www.alifstores.com/apple-iphone-15-128gb-black.html,3399.00,QAR,Only 5 left
Apple Watch S9,"Apple Watch Ultra 2 GPS + Cellular, 49mm Titanium Case with Olive Alpine Loop - Large",https://www.alifstores.com/apple-watch-ultra-2-gps-cellular-49mm-titanium-case-with-olive-alpine-loop-large.html,3199.00,QAR,Only 4 left
Apple Watch S9,"Apple Watch Ultra 2 GPS + Cellular, 49mm Titanium Case with Orange/Beige Trail Loop - M/L",https://www.alifstores.com/apple-watch-ultra-2-gps-cellular-49mm-titanium-case-with-orange-beige-trail-loop-m-l.html,3199.00,QAR,Only 3 left
